order_id,order_date,process_group,warehouse_id,picker_id,items_count,processing_time_min,labor_cost,error_flag,on_time_delivery
ORD_61,2024-01-01,B,WH_01,P_12,13,25.803876010651223,17.13493677766964,0,1
ORD_62,2024-01-01,A,WH_01,P_16,7,32.6214085066541,18.802908042489374,0,1
ORD_63,2024-01-01,A,WH_01,P_16,5,25.96389571100179,14.357434161636803,0,1
ORD_64,2024-01-01,A,WH_01,P_5,7,31.926519362918512,15.308236885542506,0,1
ORD_65,2024-01-01,A,WH_01,P_14,11,37.33390576566292,19.488192699677626,0,1
ORD_66,2024-01-01,A,WH_01,P_16,8,29.173770166290062,18.69614981207291,0,0
ORD_67,2024-01-01,A,WH_01,P_4,1,30.095787288376144,19.375323889685937,0,1
ORD_68,2024-01-01,B,WH_01,P_7,19,28.554537827990025,18.68839054237388,0,1
ORD_69,2024-01-01,B,WH_01,P_8,3,24.128992755961605,11.270064186352876,0,1
ORD_70,2024-01-01,A,WH_01,P_17,9,37.04102695567055,21.400026075207222,0,1
ORD_71,2024-01-01,A,WH_01,P_20,1,33.3445548908625,18.037777202345385,0,1
ORD_72,2024-01-01,A,WH_01,P_3,18,29.168734855292783,16.331456562594035,0,0
ORD_73,2024-01-01,B,WH_01,P_4,11,26.44534032185245,17.440772816202756,0,1
ORD_74,2024-01-01,B,WH_01,P_17,8,32.163002020089884,10.47467168750996,0,0
ORD_75,2024-01-01,A,WH_01,P_3,1,42.36648576460556,13.52219590675292,0,1
ORD_76,2024-01-01,A,WH_01,P_13,6,24.078600757876146,23.49437629756306,0,1
ORD_77,2024-01-01,A,WH_01,P_17,1,31.35209021388165,22.58130377967743,1,1
ORD_78,2024-01-01,A,WH_01,P_6,1,17.2864123921056,15.296118544005996,0,1
ORD_79,2024-01-01,B,WH_01,P_5,17,35.194299931869764,15.563088382014008,0,1
ORD_80,2024-01-01,B,WH_01,P_13,10,20.246390235292466,13.406911169810307,0,1
ORD_81,2024-01-01,A,WH_01,P_8,4,36.26968926853334,14.626073724486393,0,1
ORD_82,2024-01-01,A,WH_01,P_12,2,39.65277949192172,17.72530181805049,0,1
ORD_83,2024-01-01,A,WH_01,P_6,17,35.87225569751089,22.105894672597046,0,1
ORD_84,2024-01-01,B,WH_01,P_2,2,32.292122434247936,10.603151283942214,0,1
ORD_85,2024-01-01,B,WH_01,P_17,6,31.33035258021399,14.741059750245942,0,1
ORD_86,2024-01-01,A,WH_01,P_5,4,39.27293859935061,17.567852105176442,0,1
ORD_87,2024-01-01,B,WH_01,P_19,6,16.662789499800617,14.77719990121803,0,1
ORD_88,2024-01-01,A,WH_01,P_3,16,25.39248857091733,19.46301982476988,0,1
ORD_89,2024-01-01,A,WH_01,P_10,18,23.806011281098066,19.512320579071602,0,1
ORD_90,2024-01-01,A,WH_01,P_14,6,31.357817840272652,14.894273032741879,0,1
ORD_91,2024-01-01,B,WH_01,P_11,13,23.873809082232217,14.31597564124008,0,1
ORD_92,2024-01-01,A,WH_01,P_20,16,31.326031701855023,17.33709120140033,0,1
ORD_93,2024-01-01,A,WH_01,P_2,15,30.349689817090137,11.094236505793246,0,1
ORD_94,2024-01-01,A,WH_01,P_18,14,37.20109438005286,19.413110494254063,0,1
ORD_95,2024-01-01,B,WH_01,P_10,6,18.96776839871214,15.508659089668058,0,1
ORD_96,2024-01-01,A,WH_01,P_20,17,28.12056269454484,14.755355989156815,0,1
ORD_97,2024-01-01,A,WH_01,P_2,4,40.058592908646375,14.077028795448728,0,1
ORD_98,2024-01-01,A,WH_01,P_20,8,40.876603566972946,23.95840921868065,0,1
ORD_99,2024-01-01,B,WH_01,P_6,2,26.94386278310181,10.905014910716528,0,1
ORD_100,2024-01-01,B,WH_01,P_9,16,25.090448888156192,13.96637190295575,0,1
ORD_101,2024-01-01,A,WH_01,P_2,3,16.983442870026707,20.053926604665506,1,1
ORD_102,2024-01-01,B,WH_01,P_19,11,28.186621923798715,15.683943507846571,0,1
ORD_103,2024-01-01,B,WH_01,P_6,2,37.21660244841153,19.049030388593277,0,1
ORD_104,2024-01-01,B,WH_01,P_14,4,28.398786748933546,8.147612888850746,0,1
ORD_105,2024-01-01,B,WH_01,P_1,6,21.304291357050587,15.669356664258153,0,1
ORD_106,2024-01-01,B,WH_01,P_8,18,37.3352200087569,10.137651774073126,0,1
ORD_107,2024-01-01,B,WH_01,P_17,1,26.641629817212813,12.440453701277363,0,1
ORD_108,2024-01-01,A,WH_01,P_3,12,36.10376982484671,17.566427743938288,1,1
ORD_109,2024-01-01,A,WH_01,P_9,1,34.928264476272496,22.740402285225606,0,1
ORD_110,2024-01-01,A,WH_01,P_14,14,35.09674837146615,19.426480924347523,0,1
ORD_111,2024-01-01,B,WH_01,P_8,4,31.101228697431278,10.731807110931005,0,1
ORD_112,2024-01-01,B,WH_01,P_17,19,30.539621834848372,20.52112631466545,0,1
ORD_113,2024-01-01,A,WH_01,P_19,15,36.976433487100934,11.366594072976344,0,1
ORD_114,2024-01-01,B,WH_01,P_15,6,33.07361029843274,12.797840888779348,0,1
ORD_115,2024-01-01,A,WH_01,P_1,1,37.79553204775754,18.246164613458394,0,1
ORD_116,2024-01-01,A,WH_01,P_5,5,29.018845803964272,19.163534644591397,0,1
ORD_117,2024-01-01,A,WH_01,P_20,10,38.22523966554739,16.469950803435758,0,1
ORD_118,2024-01-01,B,WH_01,P_2,15,24.77853369961944,15.94325123261213,0,1
ORD_119,2024-01-02,A,WH_01,P_11,19,34.48060941934221,23.630387437674198,0,1
ORD_120,2024-01-02,B,WH_01,P_11,10,21.111072292538232,13.29934603201523,0,1
ORD_121,2024-01-02,B,WH_01,P_16,13,31.33924518331591,12.658714956258159,0,1
ORD_122,2024-01-02,B,WH_01,P_9,5,28.08430518491469,16.105291663283683,0,1
ORD_123,2024-01-02,B,WH_01,P_14,19,27.919416759525788,15.250238606449246,0,1
ORD_124,2024-01-02,A,WH_01,P_19,14,34.513036483210925,16.832135424817523,0,1
ORD_125,2024-01-02,B,WH_01,P_9,15,24.059565868427235,14.66649785527114,0,1
ORD_126,2024-01-02,A,WH_01,P_11,11,31.60713587745524,20.422252083248402,0,1
ORD_127,2024-01-02,A,WH_01,P_1,12,30.85453105166994,18.938922455450555,0,1
ORD_128,2024-01-02,A,WH_01,P_8,11,25.89684697672766,19.550007925944367,1,1
ORD_129,2024-01-02,A,WH_01,P_19,7,27.934602723597756,18.447859690417435,0,1
ORD_130,2024-01-02,B,WH_01,P_14,17,26.836233648920008,13.641438072165588,0,1
ORD_131,2024-01-02,A,WH_01,P_19,15,46.579086371923815,23.84919778680369,0,1
ORD_132,2024-01-02,A,WH_01,P_10,4,33.73905358501081,17.235536194882908,1,1
ORD_133,2024-01-02,A,WH_01,P_7,14,40.48978214897998,18.37513809349934,1,1
ORD_134,2024-01-02,A,WH_01,P_15,8,36.33003238425941,14.612844686348312,0,1
ORD_135,2024-01-02,A,WH_01,P_14,3,32.85929271498513,20.934878946348775,0,1
ORD_136,2024-01-02,B,WH_01,P_16,14,25.1951691709046,17.89832450841062,0,1
ORD_137,2024-01-02,B,WH_01,P_19,7,33.815765510533524,16.92479889632416,0,1
ORD_138,2024-01-02,B,WH_01,P_12,18,20.792493845254388,12.959236477362886,0,1
ORD_139,2024-01-02,B,WH_01,P_3,5,32.92605145755445,13.324902016111633,0,1
ORD_140,2024-01-02,B,WH_01,P_19,12,31.859113450863678,14.922604373408566,0,1
ORD_141,2024-01-02,A,WH_01,P_11,14,37.21844264137047,21.171374800068925,0,1
ORD_142,2024-01-02,B,WH_01,P_10,4,32.515126333888915,17.87856343616183,0,1
ORD_143,2024-01-02,B,WH_01,P_10,9,29.041263778572358,10.7435409894054,0,1
ORD_144,2024-01-02,B,WH_01,P_10,6,22.467106634904795,17.111105877573422,0,1
ORD_145,2024-01-02,A,WH_01,P_11,17,20.954754612010127,14.161269099792896,0,1
ORD_146,2024-01-02,A,WH_01,P_11,19,32.88324697621761,17.33237558348658,0,1
ORD_147,2024-01-02,B,WH_01,P_15,4,22.120633735113337,17.6341044915196,0,1
ORD_148,2024-01-02,B,WH_01,P_20,5,18.22606579712383,14.690265053148602,0,1
ORD_149,2024-01-02,A,WH_01,P_9,17,47.360507229612764,17.71182030082605,0,1
ORD_150,2024-01-02,A,WH_01,P_7,8,31.79006905701823,23.31240190690653,0,1
ORD_151,2024-01-02,A,WH_01,P_17,3,30.153286299921128,16.02330473407139,0,0
ORD_152,2024-01-02,B,WH_01,P_17,17,27.888505004666268,11.661639103224747,0,1
ORD_153,2024-01-02,A,WH_01,P_15,5,37.00353292729342,19.37754023768531,0,1
ORD_154,2024-01-02,A,WH_01,P_7,9,34.57770931479551,18.623063061489333,0,1
ORD_155,2024-01-02,B,WH_01,P_18,15,21.594717297958688,17.63288213333226,0,0
ORD_156,2024-01-02,A,WH_01,P_3,7,40.13980029310073,9.862528524456078,0,1
ORD_157,2024-01-02,B,WH_01,P_12,13,28.110668858168566,13.803128445841306,0,1
ORD_158,2024-01-02,A,WH_01,P_1,15,33.05252645180068,22.165773364332548,0,1
ORD_159,2024-01-02,B,WH_01,P_13,13,20.25268214287238,16.46375865214645,0,1
ORD_160,2024-01-02,A,WH_01,P_12,18,28.896269299397765,22.22804232055674,0,1
ORD_161,2024-01-02,A,WH_01,P_17,10,30.40209602886378,16.00639521107336,0,1
ORD_162,2024-01-02,A,WH_01,P_16,13,23.933296933794338,15.244044160547405,0,1
ORD_163,2024-01-02,A,WH_01,P_5,14,26.27924497416859,17.174628040958776,1,1
ORD_164,2024-01-02,A,WH_01,P_4,6,36.989256546255696,18.622838064684192,1,1
ORD_165,2024-01-02,A,WH_01,P_10,8,32.99871324927834,19.47735379202445,0,1
ORD_166,2024-01-02,A,WH_01,P_5,2,29.504795951529292,17.68785072960109,1,1
ORD_167,2024-01-02,A,WH_01,P_10,15,32.57927158123265,13.500489266029367,0,1
ORD_168,2024-01-02,A,WH_01,P_13,18,33.01791733682511,17.99096219044848,0,1
ORD_169,2024-01-02,B,WH_01,P_9,15,26.33470957664466,17.814196960924075,0,1
ORD_170,2024-01-02,A,WH_01,P_2,2,33.71519234434943,19.003370369961075,0,1
ORD_171,2024-01-02,B,WH_01,P_5,15,27.22796082235025,13.422519675315131,0,1
ORD_172,2024-01-02,A,WH_01,P_8,17,37.44496861050354,18.107683649303098,0,1
ORD_173,2024-01-02,A,WH_01,P_1,13,35.503569111955784,16.922123727638823,0,1
ORD_174,2024-01-02,A,WH_01,P_6,16,36.922893087184185,19.521822093321894,0,1
ORD_175,2024-01-02,B,WH_01,P_7,7,32.20102964111831,14.763116566053993,0,1
ORD_176,2024-01-02,A,WH_01,P_13,18,34.509515328716006,19.201236087715312,0,1
ORD_177,2024-01-02,B,WH_01,P_13,17,22.04409845194975,15.38601819240423,0,1
ORD_178,2024-01-02,A,WH_01,P_15,16,33.599483280169615,16.79586072800332,0,0
ORD_179,2024-01-02,B,WH_01,P_17,5,24.767831927247357,15.48522498224577,0,1
ORD_180,2024-01-02,B,WH_01,P_12,1,24.067259557393285,19.777011471146963,0,1
ORD_181,2024-01-02,A,WH_01,P_2,11,29.30501714734662,21.38025957577861,0,1
ORD_182,2024-01-02,B,WH_01,P_20,2,20.850653108795928,14.555649196281486,0,1
ORD_183,2024-01-02,B,WH_01,P_12,2,23.382815929465874,16.82786382314402,0,1
ORD_184,2024-01-02,B,WH_01,P_3,15,36.23318498023833,12.324788084184618,0,1
ORD_185,2024-01-02,A,WH_01,P_17,1,38.980912748187556,15.212003417693179,0,1
ORD_186,2024-01-02,A,WH_01,P_17,12,25.020676759457576,25.69217384790104,0,1
ORD_187,2024-01-02,A,WH_01,P_12,8,35.41860368139322,19.343125680051944,0,1
ORD_188,2024-01-02,A,WH_01,P_12,3,31.030245527225173,13.97617598694514,0,1
ORD_189,2024-01-02,B,WH_01,P_2,4,19.566146086498318,15.79106518262271,0,1
ORD_190,2024-01-02,B,WH_01,P_18,8,24.769082833926102,10.276148172636173,0,1
ORD_191,2024-01-02,B,WH_01,P_6,15,19.080485882571384,16.901036640360743,0,1
ORD_192,2024-01-02,A,WH_01,P_14,8,37.639088621178125,20.538040634013807,0,1
ORD_193,2024-01-02,B,WH_01,P_18,15,39.010131409177276,14.943492276387952,0,1
ORD_194,2024-01-02,B,WH_01,P_20,1,22.618406660129093,15.094150582919845,0,1
ORD_195,2024-01-02,B,WH_01,P_2,7,27.977051424983166,12.343418056459747,0,1
ORD_196,2024-01-02,B,WH_01,P_6,12,28.377552811741264,13.003636710984544,0,1
ORD_197,2024-01-02,A,WH_01,P_20,7,22.797507645740986,20.583383006875803,0,0
ORD_198,2024-01-02,B,WH_01,P_3,15,27.57266683107732,17.37536367749708,0,1
ORD_199,2024-01-02,A,WH_01,P_12,9,30.66852528323868,14.35644313305219,0,1
ORD_200,2024-01-02,A,WH_01,P_19,13,22.654503284829598,21.16309064516161,0,1
ORD_201,2024-01-02,B,WH_01,P_19,18,29.529955549797673,10.006471641351233,0,1
ORD_202,2024-01-02,A,WH_01,P_20,15,30.45574077545993,12.994247778367232,0,1
ORD_203,2024-01-02,A,WH_01,P_19,4,37.24269824576069,20.30437150540415,0,1
ORD_204,2024-01-02,B,WH_01,P_2,9,35.419638457289345,13.85278934282765,0,1
ORD_205,2024-01-02,B,WH_01,P_15,6,22.558946222763762,11.592400853622197,0,1
ORD_206,2024-01-02,A,WH_01,P_14,3,29.142196154187033,22.164938104301424,0,1
ORD_207,2024-01-02,B,WH_01,P_15,2,28.619000638029725,14.271275052516275,0,1
ORD_208,2024-01-02,B,WH_01,P_2,7,32.74382850186052,10.650715553054752,0,1
ORD_209,2024-01-02,A,WH_01,P_15,5,32.10131035051937,17.718703651431987,0,1
ORD_210,2024-01-02,A,WH_01,P_12,11,31.097480873229003,20.986645756086837,0,1
ORD_211,2024-01-02,B,WH_01,P_20,9,19.217090506701247,13.929712097585218,0,1
ORD_212,2024-01-02,B,WH_01,P_12,11,31.235395049925174,18.0562522872172,0,1
ORD_213,2024-01-02,B,WH_01,P_2,15,25.483457690320257,15.94931546735031,0,1
ORD_214,2024-01-02,A,WH_01,P_17,5,31.214504163381505,14.895135406403602,0,1
ORD_215,2024-01-02,A,WH_01,P_2,14,26.713357102841233,22.84787551001623,0,1
ORD_216,2024-01-02,A,WH_01,P_12,18,32.40652143657297,19.200343423944652,0,1
ORD_217,2024-01-02,B,WH_01,P_6,13,23.336579043711904,16.263567866562045,0,1
ORD_218,2024-01-02,A,WH_01,P_10,15,35.283295628342024,15.248520584411892,0,0
ORD_219,2024-01-02,B,WH_01,P_8,18,30.342340647645553,13.70775784277554,0,1
ORD_220,2024-01-02,A,WH_01,P_16,14,33.083872785652645,20.25522082018073,1,1
ORD_221,2024-01-02,A,WH_01,P_9,9,33.8158127914342,15.737172449941927,1,1
ORD_222,2024-01-02,A,WH_01,P_6,9,30.428201382088684,16.476960652603015,0,1
ORD_223,2024-01-02,B,WH_01,P_19,4,32.23460063825006,16.424875763353455,0,1
ORD_224,2024-01-02,A,WH_01,P_1,11,23.18552263618275,15.302515118993883,0,1
ORD_225,2024-01-03,B,WH_01,P_17,7,16.902222255114157,17.678502275934303,0,1
ORD_226,2024-01-03,A,WH_01,P_2,12,32.25013422279165,17.302802680498587,0,1
ORD_227,2024-01-03,B,WH_01,P_12,9,31.90882743495797,14.187921541228445,0,1
ORD_228,2024-01-03,A,WH_01,P_6,2,22.215959795508414,18.512912914704657,0,1
ORD_229,2024-01-03,B,WH_01,P_16,18,27.897084064156346,19.55195094178839,0,1
ORD_230,2024-01-03,A,WH_01,P_19,15,32.62520662371126,17.81222061630143,0,0
ORD_231,2024-01-03,B,WH_01,P_15,14,18.535215929023074,14.754150933013126,0,1
ORD_232,2024-01-03,B,WH_01,P_13,3,22.85535959567039,15.408693697918633,0,1
ORD_233,2024-01-03,B,WH_01,P_10,11,24.29838908431256,16.283851770408784,0,1
ORD_234,2024-01-03,B,WH_01,P_13,4,22.886892922554495,14.624145193547742,0,1
ORD_235,2024-01-03,B,WH_01,P_9,15,27.611487515161418,16.358245072590968,0,1
ORD_236,2024-01-03,B,WH_01,P_16,9,21.703039347650282,16.193884290314116,0,1
ORD_237,2024-01-03,A,WH_01,P_18,5,38.419102992206234,15.261155780927972,0,1
ORD_238,2024-01-03,A,WH_01,P_12,4,30.53119854916219,14.617486986778212,0,1
ORD_239,2024-01-03,B,WH_01,P_7,1,26.073561705611457,14.675448250666435,0,1
ORD_240,2024-01-03,B,WH_01,P_2,11,24.212541074960832,11.575492551052307,0,1
ORD_241,2024-01-03,B,WH_01,P_9,3,35.36139618043425,17.30733045552352,0,1
ORD_242,2024-01-03,A,WH_01,P_14,11,33.81611209397592,16.39755495093571,0,1
ORD_243,2024-01-03,B,WH_01,P_6,8,32.653516543072506,19.28925458598597,0,1
ORD_244,2024-01-03,A,WH_01,P_8,7,32.204500809555356,15.690080306824076,0,1
ORD_245,2024-01-03,B,WH_01,P_6,8,29.313131676905513,20.294639874064725,0,1
ORD_246,2024-01-03,B,WH_01,P_8,12,30.474989503884373,19.866357093786913,0,1
ORD_247,2024-01-03,B,WH_01,P_16,12,33.556051151961995,16.73601579736343,0,1
ORD_248,2024-01-03,B,WH_01,P_5,17,15.32213637916686,13.751756901070006,0,0
ORD_249,2024-01-03,B,WH_01,P_18,8,23.233508878307212,16.9732890296365,0,1
ORD_250,2024-01-03,B,WH_01,P_14,7,28.490261050535878,17.504818872387986,0,1
ORD_251,2024-01-03,B,WH_01,P_9,1,23.58982808400343,12.063775293767154,0,1
ORD_252,2024-01-03,A,WH_01,P_6,11,28.695637855468178,20.439583220558692,1,1
ORD_253,2024-01-03,A,WH_01,P_17,11,42.13814248015234,23.679109241734984,0,1
ORD_254,2024-01-03,B,WH_01,P_6,6,24.80706396871352,17.915756868091975,0,1
ORD_255,2024-01-03,A,WH_01,P_2,16,35.468702584843356,16.432793597318923,0,1
ORD_256,2024-01-03,A,WH_01,P_1,18,32.52388984405138,19.640074817313938,0,1
ORD_257,2024-01-03,B,WH_01,P_13,14,24.418719920314366,17.329440243521763,0,1
ORD_258,2024-01-03,A,WH_01,P_14,2,35.046546021869,18.16196525533738,0,1
ORD_259,2024-01-03,B,WH_01,P_2,18,30.628834115815163,13.852607785438567,0,1
ORD_260,2024-01-03,B,WH_01,P_11,19,32.71993959601082,9.961001408342256,0,1
ORD_261,2024-01-03,B,WH_01,P_4,15,23.9329866822953,14.243825783779679,0,1
ORD_262,2024-01-03,B,WH_01,P_4,7,23.334969683616794,13.141774992587584,0,1
ORD_263,2024-01-03,B,WH_01,P_3,6,21.780135800008708,14.477598781669924,0,1
ORD_264,2024-01-03,A,WH_01,P_6,14,29.562786568269004,14.513078530837147,1,1
ORD_265,2024-01-03,A,WH_01,P_18,10,26.039262643659935,19.73819771752201,0,1
ORD_266,2024-01-03,A,WH_01,P_4,18,23.672323636600762,15.713275613611254,0,1
ORD_267,2024-01-03,B,WH_01,P_6,16,26.135269700382885,19.279271200355858,0,1
ORD_268,2024-01-03,B,WH_01,P_1,10,23.654636306700418,17.599761718490193,0,1
ORD_269,2024-01-03,B,WH_01,P_8,18,37.786541066327516,13.485712692491655,0,1
ORD_270,2024-01-03,A,WH_01,P_12,15,31.25726247313448,20.928445074254128,0,1
ORD_271,2024-01-03,A,WH_01,P_17,5,36.758338283944575,21.6832567794579,0,1
ORD_272,2024-01-03,A,WH_01,P_7,8,23.917242262821823,15.085157884468046,0,1
ORD_273,2024-01-03,A,WH_01,P_16,19,39.11422492797798,20.1568599319952,0,1
ORD_274,2024-01-03,B,WH_01,P_18,17,31.980238429029082,13.108012278576348,0,1
ORD_275,2024-01-03,A,WH_01,P_18,17,26.83169778585954,15.358614105532782,0,0
ORD_276,2024-01-03,B,WH_01,P_2,4,34.278093450405585,19.4981789375475,0,1
ORD_277,2024-01-03,A,WH_01,P_14,10,35.34092504464999,17.368889524316863,0,1
ORD_278,2024-01-03,B,WH_01,P_3,18,25.89373188207114,14.307966750277698,0,1
ORD_279,2024-01-03,B,WH_01,P_8,7,31.187813516791863,12.965886609850813,0,1
ORD_280,2024-01-03,B,WH_01,P_13,7,32.62399322296596,13.001514809596411,0,1
ORD_281,2024-01-03,B,WH_01,P_19,2,28.998439758763208,13.371607765520427,0,1
ORD_282,2024-01-03,A,WH_01,P_19,12,33.85299807559378,23.106644833905712,0,1
ORD_283,2024-01-03,A,WH_01,P_16,7,38.011713606750604,18.615080061185637,0,1
ORD_284,2024-01-03,B,WH_01,P_10,1,29.695660515914028,15.854073048422785,0,1
ORD_285,2024-01-03,B,WH_01,P_2,11,32.499524754589416,12.854736138079517,0,1
ORD_286,2024-01-03,A,WH_01,P_12,16,33.66789838845625,22.36443193497523,0,1
ORD_287,2024-01-03,A,WH_01,P_19,14,23.300860607114565,14.681075456314975,0,1
ORD_288,2024-01-03,A,WH_01,P_5,4,41.3824136962988,14.249260505639041,0,1
ORD_289,2024-01-03,B,WH_01,P_7,8,25.030093183487892,13.9704346142027,0,1
ORD_290,2024-01-03,B,WH_01,P_2,14,24.311551512860685,15.758611877310113,0,1
ORD_291,2024-01-03,B,WH_01,P_19,18,25.468232696143453,15.163984614207946,0,1
ORD_292,2024-01-03,B,WH_01,P_17,13,29.766363444754745,13.76560014409886,0,1
ORD_293,2024-01-03,A,WH_01,P_11,1,31.503915884943805,17.63475747485015,0,1
ORD_294,2024-01-03,A,WH_01,P_15,13,34.734138012003505,14.754891481258795,0,1
ORD_295,2024-01-03,B,WH_01,P_20,15,25.138966119644735,17.721871549260463,0,1
ORD_296,2024-01-03,A,WH_01,P_10,10,32.84531748146723,12.694681903311444,0,0
ORD_297,2024-01-03,A,WH_01,P_10,14,28.499525864791224,14.097294730457623,0,1
ORD_298,2024-01-03,B,WH_01,P_3,5,31.546080832265638,18.57007871308697,0,1
ORD_299,2024-01-03,A,WH_01,P_20,4,28.386727637829317,19.40632276822507,0,1
ORD_300,2024-01-03,B,WH_01,P_16,4,22.22969126126839,12.615988467450755,0,0
ORD_301,2024-01-03,B,WH_01,P_11,10,24.598988129264907,16.785215282381326,0,1
ORD_302,2024-01-03,B,WH_01,P_18,18,14.878798698635292,17.210113490902625,0,1
